edition,edition_id,year,country,country_noc,gold,silver,bronze,total,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
1964 Summer Olympics,16,1964,Belgium,BEL,2,0,1,3,847.0,33120.0,,,1.211188491073517,508573500.0,3.289450267808145,,,,,,,2.0029857803441935,13063738402.6563,16192080757.342075,4.847336951372539,1417.5907565632149,16418062177.36825,1520.0,,18.525,27.75,70.12347560975613,64.00267679348565,0.49262255443609027,9211946.25,6119140.0,66.42382111347845
1964 Summer Olympics,16,1964,France,FRA,1,8,6,15,867.0,549086.0,,89.7875900671058,4.217707442318085,2707997903.4203978,5.155762622682047,11115725868.490452,53281675000.0,27.271154775590023,30.356862610638853,26137800000.0,48.06029377605698,4.544730748945753,72135430778.82413,54292725000.0,5.968676320921993,1496.474479593175,54672350000.0,1605.0,,17.05,21.924999999999997,70.20365853658538,62.03928816237088,1.0140948416530133,48146507.25,30367903.75,63.06179096996952
1964 Summer Olympics,16,1964,Canada,CAN,1,2,1,4,537.0,15640500.0,,2.07642032853759,1.2667961984939073,1718375000.0,3.9833588209840602,6862654517.871057,45690666666.666664,35.551188145920996,,,,1.9788426858100234,42269627791.91688,43711063293.99465,5.296189645705954,2291.4444656461524,43757687362.0784,2395.0,,,26.475,71.30676829268293,58.50520010682075,1.9073062393115368,18439589.0,12932734.0,70.1178751240014
1964 Summer Olympics,16,1964,Switzerland,SUI,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964 Summer Olympics,16,1964,Ethiopia,ETH,1,0,0,1,,1221900.0,,,,50537500.0,2.0721449027803764,,,,,,,-0.2116666711146635,1715999085.7204947,4263348248.5,4.42236263086383,77.25815626508705,4249573208.5,80.0,,,,40.327749999999995,55.0370829639025,2.5145190026335134,22199889.5,1624319.75,7.312493836936698
1964 Summer Olympics,16,1964,India,IND,1,0,0,1,1083.0,3287260.0,,153.81754882802667,2.5133667784600773,5108375000.0,2.712269631387538,3158559272.0342727,220304531158.5,10.486530932384849,21.550315849571348,77001396815.25,38.784840555575826,4.96822275449998,41711431244.35628,198625664442.5,4.216074510159917,92.10541236305366,197650664442.5,95.0,,,147.6,46.00625,55.610539653098854,2.37147566542968,451994183.0,81800358.0,18.094110854132875
1964 Summer Olympics,16,1964,The Bahamas,BAH,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964 Summer Olympics,16,1964,Republic of Korea,KOR,0,2,1,3,1274.0,99260.0,,274.86505632732064,10.867794232734589,21325000000.0,6.3936883528911626,421708582.7527487,396825000000.0,17.6008927481599,17.72984667767445,132475000000.0,37.32298707114673,19.918801170328766,3308732363.053815,360550000000.0,6.617317871486937,126.67014129790222,364275000000.0,120.0,,28.275,70.65,54.5887073170732,54.79692771361448,2.8704616124253364,26138206.0,7549968.5,28.856478864376648
1964 Summer Olympics,16,1964,Trinidad and Tobago,TTO,0,1,2,3,2200.0,5130.0,,171.54918778427532,2.586828461569345,,,,,,,,,0.8361393786701333,604550003.208325,1036374025.0,7.461377085790424,692.8987857805585,957125000.0,690.0,,37.0,60.0,63.133,53.67729993200695,1.9856054196888102,871271.25,167149.0,19.1520435126627
1964 Summer Olympics,16,1964,Tunisia,TUN,0,1,1,2,207.0,163610.0,,28.133678767593565,,6725000.0,1.8645782567164977,,,,,,,18.5949916243442,924306920.6349207,388208906.6666667,-7.662039609854915,211.3368034110657,385289322.6666667,190.0,,,159.25,45.07,52.64439015585477,1.2257749267423,4344958.25,1653321.0,38.0454508136202
1964 Summer Olympics,16,1964,Argentina,ARG,0,1,0,1,591.0,2780400.0,,7.700362968890643,,0.0024275,2.0075000000000003,1811224774.08652,0.191870404875,14.26360507082275,,,,24.924564508470567,18151877375.0388,0.19123073294999998,-0.2441251570250896,868.194916529153,0.19617944955,890.0,,,,64.5865,63.48769047051767,1.6518020738953532,20901641.0,15222681.75,72.81490404844374
1964 Summer Olympics,16,1964,Cuba,CUB,0,1,0,1,1335.0,109890.0,,70.23549037864683,,,,,,,,,,,,,,,,,,,36.800000000000004,63.94499999999999,59.333263613060076,2.06932580081954,7466989.0,4331491.75,58.00334027809015
1964 Summer Olympics,16,1964,Pakistan,PAK,0,1,0,1,494.0,796100.0,,62.49359217171716,2.3819536457088604,998750000.0,3.928709752012685,425293994.1201178,21479000000.0,21.426193546640125,16.240587815565952,7262250000.0,36.302180782123074,0.8857144704121165,4202225955.480892,20011000000.0,6.386345521684177,88.23918753512422,19977250525.5,95.0,,85.4,160.85,45.417,56.01519970528693,2.6205028423612835,47558622.75,10833120.0,22.76855536649655
1964 Summer Olympics,16,1964,Philippines,PHI,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964 Summer Olympics,16,1964,Islamic Republic of Iran,IRI,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964 Summer Olympics,16,1964,Brazil,BRA,0,0,1,1,1775.0,8515770.0,,9.19801953544688,,6.15e-05,2.425680852384337,2415711001.39051,0.00254525875,13.208425718340072,0.0,0.0,0.0,54.4282309596308,19206466679.626923,0.0026057636499999997,5.266666666666708,252.80006626486227,0.002534721575,260.0,,49.2,122.5,53.80625,53.06649626141795,2.9827446042980337,75755782.75,34789391.0,45.89320288306817
