§title§date§href§text
0§In 361 alle OlimpiadiIl primo record degli azzurri§0000-00-00§http://www.repubblica.it/online/sport/sidney/sidney/sidney.html?ref=search§"Mai l'Italia aveva mandato così tanti atletiai giochi olimpici. Le attese e le speranze
In 361 alle OlimpiadiIl primo record degli azzurri
di MATTEO TONELLI
 
ROMA - Un record l'hanno già stablito prima ancora di partire. Quella che rappresenterà l'Italia ai giochi olimpici che si terranno a Sydney a settembre, è la pattuglia più numerosa che il nostro paese abbia mai mandato a una olimpiade. Per ora la lista comprende 361 atleti: 244 uomini e 117 donne. Più dei 347 che gareggiarono ad Atlanta '96. E il numero potrebbe aumentare da oggi al 20 settembre ultima data utile per presentare le liste. Gli azzurri saranno presenti in 24 delle 28 discipline previste a Sydney. Solo badmington, hockey prato, pallamano e tennis tavolo non vedranno partecipazioni italiane. Poche le assenze di rilievo. Jury Chechi, bloccato da un infortunio, la maratoneta Franca Fiacconi e il canoista Daniele Scarpa. Il compito di alfiere è toccato a Carlton Myers, cestista italiano di colore. 
Con quali aspettative partono gli azzurri? Anzitutto vale la pena di fare un passo indietro fino alla precedente edizione. Ad Atlanta gli azzurri conquistarono 13 ori, 10 argenti e 12 bronzi. Quattro anni prima, a Seul, gli azzurri (255 atleti) raccolsero sei medaglie d'oro, quattro d'argento e quattro di bronzo. 
E stavolta? In molti guardano al calcio. Gli azzurri in campo sembrano avere tutte le carte in regola per regalarsi e regalarci una medaglia. Magari quella d'oro. Così come ci sono buone speranze per il quattrocentista Fabrizio Mori e la saltatrice Fiona May.
 Senza dimenticare il triplista primatista italiano Fabrizio Donato. Attesa anche nella marcia che vedrà in campo sia la grintosa Annarita Sidoti che Giovanni De Benedictis. Dalla terra all'acqua. A partire dai canoisti Antonio Rossi e Iosefa Idem. Per proseguire con gli alfieri del cannottaggio da Agostino Abbagnale a Alessandro Corona.
Le due ruote azzurre attendono con ansia di conoscere le intenzioni di Marco Pantani, Reduce dalle belle prove e dal ritiro al Tour. Il Pirata sarà o non sarà della partita? Difficile fare previsioni. D'altronde il circuito, pianeggiante, non sembra davvero fatto per lui, in gran forma quando si tratta di scalare montagne. Ad ogni modo, tra i cinque azzurri che correranno su strada ci sarà un uomo della forza di Michele Bartoli, fra i più forti al mondo nelle gare di un giorno. 
Attesa e un pizzico di curiosità circondano i nuotatori azzurri, in particolare Rosolino dopo le brillanti prestazioni agli ultimi europei. Con lui ci saranno Brembilla, Fioravanti, Vismara, Merisi e le staffette. Notizie confortanti si attendono dalla scherma, dalla pallavolo, dalla pallanuoto. Orfana di Cechi la ginnastica non sembra terreno di conquista, così come il tennis e la vela. 
Gli azzurri che andranno a Sydney saranno ricevuti oggi alle 12 dal presidente della Repubblica Carlo Azeglio Ciampi. 
(26 luglio 2000) 
AspettandoSydney
LA SCHEDA
Gli italianiin gara
IN RETE(in italiano)
Coni"
1§"Esplode la gioia azzurra""Sicuri di farcela"""§0000-00-00§http://www.repubblica.it/online/olimpiadi/spadaoro/spadaoro/spadaoro.html?ref=search§"I risultati
Gli azzurri
I record
La storia
Calendario
Da vedere
Dopo la vittoria nella spada contro la Francia""Avevamo provato l'urlo della vittoria""
Esplode la gioia azzurra ""Sicuri di farcela""
SYDNEY - ""Siamo troppo forti. Ero sicuro che ce l'avremmo fatta, ci credevamo tutti"": impazzisce di gioia Alfredo Rota. Lui che ha trascinato l'Italia alla vittoria conro la Francia scende dalla pedana e si butta tra le braccia di Cristiana, la sua fidanzata. Un abbraccio, un bacio liberatorio e poi l'escalamazione: ""Vorrei fare una dedica alla mia famiglia"". 
Accanto a lui, Paolo Milanoli svela un aneddoto. ""Ieri in camera con Alfredo avevamo provato l'urlo per la vittoria.
Si, ci credevamo. Ho avuto una grossa carica quando ho visto la stoccata sfortunata di Randazzo.
 Non ho mai pensato che potevamo perdere"".
Sul suo modo di gareggiare Milanoli spiega: ""Col mio stile sopperisco alle carenze che derivano da un carattere forte. Lo stile di oggi è stato quello di sempre. Rischio a volte delle figuracce: se va bene sono un eroe, altrimenti sono un coglione"". 
E poi svela un sogno. ""Mi piacerebbe tanto che un giorno ci si alzasse e si dicesse, oggi non posso andare alla partita di calcio perchè devo vedere la scherma, devo guardare Rota e Milanoli...""
(18 settembre 2000)
24 ORE"
