sport,year,n_nations,n_events,athletes_per_event,pct_team_events,hhi_gold,hhi_gold_athletes,n_nations_with_gold,mean_gold_per_athletes,hhi_total,hhi_total_athletes,n_nations_with_medal,mean_total_per_athletes
3x3 Basketball,2020,13,2,8.0,1.0,0.5,0.5,2,0.25,0.2222222222222222,0.20987654320987653,5,0.225
Archery,1972,26,2,46.5,0.0,1.0,1.0,1,0.3333333333333333,0.2222222222222222,0.21403272052622707,5,0.25666666666666665
Archery,1976,24,2,32.0,0.0,1.0,1.0,1,0.5,0.2777777777777778,0.29500000000000004,4,0.41666666666666663
Archery,1980,23,2,32.0,0.0,0.5,0.5,2,0.25,0.3888888888888889,0.368421052631579,3,0.5277777777777778
Archery,1984,31,2,49.0,0.0,0.5,0.5,2,0.16666666666666666,0.2777777777777778,0.27159209157127995,4,0.2583333333333333
Archery,1988,36,4,43.75,0.5,0.625,0.625,2,0.3333333333333333,0.3333333333333333,0.31520000000000015,5,0.41666666666666663
Archery,1992,41,4,40.75,0.5,0.375,0.35802469135802467,3,0.25,0.19444444444444442,0.17695473251028804,7,0.32142857142857145
Archery,1996,40,4,39.0,0.5,0.5,0.5,2,0.3333333333333333,0.18055555555555555,0.16598079561042522,8,0.28125
Archery,2000,40,4,36.75,0.5,0.625,0.625,2,0.3333333333333333,0.23611111111111116,0.2098765432098766,7,0.32142857142857145
Archery,2004,38,4,37.5,0.5,0.625,0.5555555555555556,2,0.375,0.18055555555555558,0.16609274563820015,8,0.275
Archery,2008,47,4,36.75,0.5,0.375,0.36507936507936517,3,0.2333333333333333,0.26388888888888884,0.24766943814562858,6,0.35000000000000003
Archery,2012,50,4,36.75,0.5,0.625,0.625,2,0.3333333333333333,0.20833333333333334,0.20833333333333334,6,0.3333333333333333
Archery,2016,50,4,36.5,0.5,1.0,1.0,1,0.6666666666666666,0.23611111111111116,0.17714285714285716,7,0.41666666666666663
Archery,2020,46,5,34.8,0.6,0.6800000000000002,0.5102040816326532,2,0.5833333333333333,0.14666666666666667,0.13027959547888165,9,0.3796296296296296
Artistic Gymnastics,1964,33,14,95.07142857142857,0.14285714285714285,0.2653061224489796,0.2265625,5,0.2666666666666667,0.269875608436993,0.2292485917738336,8,0.5052083333333333
Artistic Gymnastics,1968,30,14,96.35714285714286,0.14285714285714285,0.3046875,0.28614215793702974,4,0.3482142857142857,0.2959183673469387,0.27574864368405316,6,0.6071428571428571
Artistic Gymnastics,1972,27,14,100.14285714285714,0.14285714285714285,0.3571428571428571,0.3571428571428571,3,0.3888888888888889,0.33673469387755095,0.33673469387755095,4,0.875
Artistic Gymnastics,1976,23,14,77.42857142857143,0.14285714285714285,0.3469387755102041,0.34693877551020424,4,0.29166666666666663,0.2458677685950413,0.24258013454689353,8,0.4618055555555556
Artistic Gymnastics,1980,18,14,55.785714285714285,0.14285714285714285,0.40444444444444444,0.40444444444444444,5,0.25,0.32740740740740737,0.32740740740740737,6,0.625
Artistic Gymnastics,1984,19,14,60.0,0.14285714285714285,0.2592592592592593,0.2742415229030339,4,0.42708333333333337,0.2582716049382716,0.24660748903173146,5,0.825
Artistic Gymnastics,1988,28,14,78.35714285714286,0.14285714285714285,0.4135802469135803,0.4135802469135802,6,0.25,0.257283950617284,0.25389273356401393,9,0.419753086419753
Artistic Gymnastics,1992,29,14,81.07142857142857,0.14285714285714285,0.359375,0.34777176176593083,6,0.22685185185185186,0.2141240380262562,0.2021339794289974,9,0.4521604938271605
Artistic Gymnastics,1996,36,14,89.64285714285714,0.14285714285714285,0.14285714285714285,0.13034364482095748,9,0.14633360466693798,0.13481481481481483,0.1145901022946845,13,0.2858809993425378
Artistic Gymnastics,2000,43,14,73.21428571428571,0.14285714285714285,0.2346938775510204,0.2573484558679088,6,0.3926767676767677,0.18820861678004536,0.12475656287097452,13,0.42932067932067935
Artistic Gymnastics,2004,41,14,73.28571428571429,0.14285714285714285,0.14285714285714285,0.1332179930795848,10,0.14166666666666666,0.13378684807256236,0.10526072485207104,14,0.3537414965986394
Artistic Gymnastics,2008,38,14,61.857142857142854,0.14285714285714285,0.4489795918367348,0.2743055555555555,5,0.4,0.18367346938775508,0.11390607039585454,15,0.3567460317460317
Artistic Gymnastics,2012,52,14,53.5,0.14285714285714285,0.16326530612244897,0.15158785082660514,9,0.2361111111111111,0.12131519274376416,0.10122881485837555,14,0.356547619047619
Artistic Gymnastics,2016,59,14,54.42857142857143,0.14285714285714285,0.15306122448979592,0.1494079113126732,9,0.23333333333333334,0.15759637188208614,0.12670496908030351,12,0.41944444444444445
Artistic Gymnastics,2020,58,14,60.857142857142854,0.14285714285714285,0.13265306122448978,0.12274669984424062,9,0.19715007215007216,0.11411573823688478,0.08470442390450152,17,0.4127684407096171
Artistic Swimming,1984,21,2,34.0,0.5,1.0,1.0,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,3,0.6666666666666666
Artistic Swimming,1988,17,2,29.0,0.5,1.0,1.0,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,3,0.6666666666666666
Artistic Swimming,1992,22,2,35.5,0.5,0.5555555555555556,0.5555555555555556,2,0.5,0.3333333333333333,0.3333333333333333,3,0.6666666666666666
Artistic Swimming,1996,5,1,5.0,1.0,1.0,1.0,1,0.1,0.3333333333333333,0.33418367346938777,3,0.1037037037037037
Artistic Swimming,2000,24,2,14.0,1.0,1.0,1.0,1,0.25,0.2777777777777778,0.27440828402366857,4,0.18055555555555555
Artistic Swimming,2004,24,2,15.5,1.0,1.0,1.0,1,0.2222222222222222,0.3333333333333333,0.3333333333333333,3,0.2222222222222222
Artistic Swimming,2008,24,2,15.5,1.0,1.0,1.0,1,0.2222222222222222,0.2777777777777778,0.2777777777777778,4,0.16666666666666666
Artistic Swimming,2012,24,2,15.0,1.0,1.0,1.0,1,0.2222222222222222,0.3600000000000001,0.35999999999999993,3,0.1851851851851852
Artistic Swimming,2016,24,2,14.5,1.0,1.0,1.0,1,0.2222222222222222,0.3333333333333333,0.3333333333333333,3,0.2222222222222222
Artistic Swimming,2020,21,2,14.5,1.0,1.0,1.0,1,0.25,0.3333333333333333,0.3333333333333333,3,0.25
Athletics,1964,69,36,33.888888888888886,0.08333333333333333,0.19907407407407407,0.11639512143011511,12,0.08602100920745841,0.11299725651577502,0.06476735496032171,22,0.16611227448052127
Athletics,1968,78,36,34.666666666666664,0.08333333333333333,0.20524691358024694,0.13179088242691184,14,0.09383149726544959,0.10922496570644717,0.07007889019399191,25,0.16778195834703546
Athletics,1972,87,38,39.026315789473685,0.10526315789473684,0.16204986149584483,0.1285930286563374,10,0.073063103751088,0.10972606955986457,0.06120107232471922,24,0.12848758459494147
Athletics,1976,71,37,30.783783783783782,0.10810810810810811,0.14536157779401027,0.08690142555415376,15,0.074369411647205,0.13903092281470664,0.0675263332147029,23,0.1276393475712721
Athletics,1980,54,38,26.94736842105263,0.10526315789473684,0.26315789473684215,0.1691466961931772,7,0.08691689081519294,0.21114188981224993,0.09169271223469824,17,0.1322578077601508
Athletics,1984,92,43,31.74418604651163,0.09302325581395349,0.1885782272456871,0.19888160602947644,14,0.12585087784153254,0.14368,0.113475271244139,24,0.17782359246688398
