country_noc,sport,success_score_mean,total_golds,total_athletes,success_score_overall
ARM,Swimming,0.0,0.0,11,0.0
ARM,Taekwondo,0.0,0.0,1,0.0
ARM,Tennis,0.0,0.0,3,0.0
ARM,Weightlifting,0.0,0.0,38,0.0
ARM,Wrestling,0.03571428571428571,2.0,53,0.03773584905660377
ARM,Wushu,0.0,0.0,1,0.0
ARU,Artistic Swimming,0.0,0.0,2,0.0
ARU,Athletics,0.0,0.0,8,0.0
ARU,Boxing,0.0,0.0,2,0.0
ARU,Cycling Road,0.0,0.0,3,0.0
ARU,Fencing,0.0,0.0,1,0.0
ARU,Judo,0.0,0.0,5,0.0
ARU,Sailing,0.0,0.0,3,0.0
ARU,Shooting,0.0,0.0,1,0.0
ARU,Swimming,0.0,0.0,11,0.0
ARU,Taekwondo,0.0,0.0,1,0.0
ARU,Weightlifting,0.0,0.0,3,0.0
ASA,Archery,0.0,0.0,1,0.0
ASA,Athletics,0.0,0.0,12,0.0
ASA,Boxing,0.0,0.0,5,0.0
ASA,Judo,0.0,0.0,3,0.0
ASA,Sailing,0.0,0.0,2,0.0
ASA,Swimming,0.0,0.0,6,0.0
ASA,Weightlifting,0.0,0.0,8,0.0
ASA,Wrestling,0.0,0.0,3,0.0
AUS,Archery,0.01282051282051282,1.0,50,0.02
AUS,Artistic Gymnastics,0.0,0.0,77,0.0
AUS,Artistic Swimming,0.0,0.0,15,0.0
AUS,Athletics,0.01742477323269904,9.0,605,0.01487603305785124
AUS,Badminton,0.0,0.0,32,0.0
AUS,Baseball,0.0,0.0,4,0.0
AUS,Basketball,0.0,0.0,23,0.0
AUS,Beach Volleyball,0.047619047619047616,1.0,14,0.07142857142857142
AUS,Bowling,0.0,0.0,1,0.0
AUS,Boxing,0.0,0.0,93,0.0
AUS,Canoe Slalom,0.041666666666666664,1.0,30,0.03333333333333333
AUS,Canoe Sprint,0.0347089947089947,4.0,83,0.04819277108433735
AUS,Cycling BMX Freestyle,0.5,1.0,2,0.5
AUS,Cycling BMX Racing,0.0,0.0,18,0.0
AUS,Cycling Mountain Bike,0.0,0.0,20,0.0
AUS,Cycling Road,0.017857142857142856,2.0,95,0.021052631578947368
AUS,Cycling Track,0.05952380952380952,8.0,103,0.07766990291262135
AUS,Diving,0.01851851851851852,2.0,82,0.024390243902439025
AUS,Equestrian Dressage,0.0,0.0,23,0.0
AUS,Equestrian Eventing,0.07142857142857142,4.0,59,0.06779661016949153
AUS,Equestrian Jumping,0.0,0.0,39,0.0
AUS,Fencing,0.0,0.0,45,0.0
AUS,Football,0.0,0.0,11,0.0
AUS,Golf,0.0,0.0,8,0.0
AUS,Handball,0.0,0.0,2,0.0
AUS,Hockey,0.14285714285714285,4.0,24,0.16666666666666666
AUS,Judo,0.0,0.0,95,0.0
AUS,Karate,0.0,0.0,1,0.0
AUS,Marathon Swimming,0.0,0.0,8,0.0
AUS,Modern Pentathlon,0.03333333333333333,1.0,30,0.03333333333333333
AUS,Rhythmic Gymnastics,0.0,0.0,9,0.0
AUS,Roller Hockey,0.0,0.0,1,0.0
AUS,Rowing,0.06422466422466422,10.0,117,0.08547008547008547
AUS,Rugby Sevens,0.25,1.0,4,0.25
AUS,Sailing,0.12021490414347558,13.0,114,0.11403508771929824
AUS,Shooting,0.018110190936277894,5.0,178,0.028089887640449437
AUS,Skateboarding,0.2,1.0,5,0.2
AUS,Softball,0.0,0.0,5,0.0
AUS,Sport Climbing,0.0,0.0,2,0.0
AUS,Surfing,0.0,0.0,4,0.0
AUS,Swimming,0.11769261475634024,51.0,432,0.11805555555555555
AUS,Table Tennis,0.0,0.0,36,0.0
AUS,Taekwondo,0.015625,1.0,33,0.030303030303030304
AUS,Tennis,0.016666666666666666,1.0,57,0.017543859649122806
AUS,Trampolining,0.0,0.0,8,0.0
AUS,Triathlon,0.03333333333333333,1.0,35,0.02857142857142857
AUS,Volleyball,0.0,0.0,4,0.0
AUS,Water Polo,0.038461538461538464,1.0,19,0.05263157894736842
AUS,Waterskiing,0.0,0.0,3,0.0
AUS,Weightlifting,0.016666666666666666,1.0,64,0.015625
AUS,Wrestling,0.0,0.0,57,0.0
AUS,Wushu,0.0,0.0,1,0.0
AUT,Archery,0.0,0.0,4,0.0
AUT,Artistic Gymnastics,0.0,0.0,5,0.0
AUT,Artistic Swimming,0.0,0.0,8,0.0
AUT,Athletics,0.0,0.0,134,0.0
AUT,Badminton,0.0,0.0,8,0.0
AUT,Beach Volleyball,0.0,0.0,7,0.0
AUT,Boxing,0.0,0.0,12,0.0
AUT,Canoe Slalom,0.0,0.0,24,0.0
AUT,Canoe Sprint,0.0,0.0,22,0.0
AUT,Cycling Mountain Bike,0.0,0.0,12,0.0
AUT,Cycling Road,0.019230769230769232,1.0,56,0.017857142857142856
AUT,Cycling Track,0.0,0.0,16,0.0
AUT,Diving,0.0,0.0,30,0.0
AUT,Equestrian Dressage,0.1,1.0,19,0.05263157894736842
AUT,Equestrian Eventing,0.0,0.0,13,0.0
AUT,Equestrian Jumping,0.0,0.0,16,0.0
AUT,Fencing,0.0,0.0,57,0.0
AUT,Golf,0.0,0.0,5,0.0
AUT,Handball,0.0,0.0,3,0.0
AUT,Hockey,0.0,0.0,1,0.0
AUT,Judo,0.03571428571428571,2.0,59,0.03389830508474576
AUT,Karate,0.0,0.0,1,0.0
AUT,Modern Pentathlon,0.0,0.0,18,0.0
AUT,Rhythmic Gymnastics,0.0,0.0,6,0.0
AUT,Rowing,0.0,0.0,39,0.0
AUT,Sailing,0.05,3.0,61,0.04918032786885246
AUT,Shooting,0.0,0.0,83,0.0
AUT,Skateboarding,0.0,0.0,1,0.0
AUT,Sport Climbing,0.0,0.0,2,0.0
AUT,Swimming,0.0,0.0,86,0.0
AUT,Table Tennis,0.0,0.0,32,0.0
AUT,Taekwondo,0.0,0.0,10,0.0
AUT,Tennis,0.0,0.0,22,0.0
AUT,Triathlon,0.05555555555555555,1.0,17,0.058823529411764705
AUT,Waterskiing,0.0,0.0,1,0.0
AUT,Weightlifting,0.0,0.0,29,0.0
